Nr,Gebiet,AfD Zweitstimmen
185,Darmstadt,27443
186,Odenwald,36237
187,Bergstraße,32971
188,Eichsfeld – Nordhausen – Kyffhäuserkreis,64146
189,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,64061
190,Jena – Sömmerda – Weimarer Land I,52020
191,Gotha – Ilm-Kreis,59557
192,Erfurt – Weimar – Weimarer Land II,46999
193,Gera – Greiz – Altenburger Land,74761
194,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,73577
195,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,75406
196,Neuwied,41999
197,Ahrweiler,29074
198,Koblenz,25417
199,Mosel/Rhein-Hunsrück,27721
200,Kreuznach,32452
201,Bitburg,23936
202,Trier,24079
203,Montabaur,36380
204,Mainz,23043
205,Worms,38744
206,Ludwigshafen/Frankenthal,37871
207,Neustadt – Speyer,36876
208,Kaiserslautern,45951
209,Pirmasens,37286
210,Südpfalz,37866
211,Altötting,33186
212,Erding – Ebersberg,28847
213,Freising,38983
214,Fürstenfeldbruck,29818
215,Ingolstadt,41843
216,München-Nord,17688
217,München-Ost,19694
218,München-Süd,16782
219,München-West/Mitte,18822
220,München-Land,24076
221,Rosenheim,39378
222,Bad Tölz-Wolfratshausen – Miesbach,24274
223,Starnberg – Landsberg am Lech,25308
224,Traunstein,34619
225,Weilheim,24239
226,Deggendorf,39530
227,Landshut,46429
228,Passau,36668
229,Rottal-Inn,37107
230,Straubing,39114
231,Amberg,40014
232,Regensburg,39770
233,Schwandorf,51973
234,Weiden,33125
235,Bamberg,29980
236,Bayreuth,26687
237,Coburg,28511
238,Hof,31308
239,Kulmbach,32989
240,Ansbach,43752
241,Erlangen,23504
242,Fürth,39100
243,Nürnberg-Nord,18303
244,Nürnberg-Süd,26901
245,Roth,35444
246,Aschaffenburg,29412
247,Bad Kissingen,41432
248,Main-Spessart,31844
249,Schweinfurt,34404
250,Würzburg,25951
